RWS_DAU_10,RWS_10,DS_10,GS_10,SD_10,FF_10,DD_10,PP_10,TT_10,TM5_10,RF_10,load
8,0.0,0.0,0.0,0.0,26.1,1920,6112.8,39.1,37.0,557.7,1186.7660593503897
25,0.0,0.0,0.0,0.0,19.7,1880,6113.9,38.4,36.8,569.7,1081.518307600319
16,0.0,0.0,0.0,0.0,27.6,1880,6115.5,37.5,35.5,561.8,710.4724411748149
11,0.0,0.0,0.0,0.0,19.9,1920,6115.7,37.0,35.2,566.4,538.3757968245815
52,0.0,0.0,0.0,0.0,17.8,1920,6115.8,36.699999999999996,35.7,580.9,489.7693384749854
60,0.0,0.0,0.0,0.0,15.9,1980,6117.5,36.9,36.0,584.6,579.8750851749614
47,0.07,0.0,0.0,0.0,12.5,2070,6118.9,36.599999999999994,35.9,587.1,427.31513159976913
60,0.03,0.0,0.0,0.0,14.8,2130,6120.1,35.5,34.8,584.5,513.798688750654
60,0.0,0.0,0.0,0.0,12.3,2120,6121.1,34.5,33.699999999999996,582.9,452.10533585020556
40,0.0,0.0,0.0,0.0,10.8,2100,6121.6,34.2,33.0,580.8,436.8470491991727
6,0.0,0.0,0.0,0.0,8.2,1990,6124.2,33.699999999999996,32.5,581.6,462.629125900747
4,0.0,0.0,0.0,0.0,8.0,1820,6126.2,33.9,33.3,584.1,528.3902695745437
30,0.03,3.5,3.5,0.0,7.6000000000000005,1850,6129.8,35.4,35.5,584.3,459.5344073756704
28,0.27,11.6,11.6,0.0,9.7,1780,6131.4,37.6,38.7,580.7,532.3955073251907
13,0.04,26.6,26.6,0.0,16.9,1910,6132.1,39.8,41.5,565.0,700.6936545994049
3,0.0,32.9,33.8,0.033,21.3,1860,6131.2,40.3,42.3,556.8,1066.2028897250902
1,0.0,21.9,22.0,0.0,27.7,1860,6131.3,39.6,40.0,536.3,963.6406501745964
19,0.0,10.4,10.4,0.0,19.5,1840,6132.0,38.8,38.8,567.2,792.5852550499995
5,0.0,5.9,5.9,0.0,22.9,1920,6133.2,40.3,39.0,558.0,716.6863745506615
10,0.0,0.1,0.1,0.0,24.0,1860,6134.8,40.3,38.3,556.4,766.8996762743061
20,0.0,0.0,0.0,0.0,24.7,1850,6136.8,39.0,37.1,567.5,816.125013375071
14,0.0,0.0,0.0,0.0,29.3,1890,6138.2,38.5,35.8,553.8,1060.1677889750358
52,0.17,0.0,0.0,0.0,24.0,1830,6139.9,37.0,35.5,574.1,1124.5029416502914
27,0.24,0.0,0.0,0.0,29.099999999999998,1800,6140.4,36.8,35.3,570.7,916.2372400996614
25,0.04,0.0,0.0,0.0,30.6,1780,6140.8,35.5,33.9,568.0,790.1887738001532
8,0.0,0.0,0.0,0.0,24.4,1750,6141.2,34.6,32.8,565.5,519.1808811999435
